S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1139,2018-12-20,319.0,321.0,316.0,318.0,0.63,46980.00,14956149.00
1138,2018-12-23,320.0,330.0,320.0,323.0,1.57,58274.00,18788178.00
1137,2018-12-24,325.0,325.0,319.0,320.0,-0.93,63519.00,20411082.00
1136,2018-12-25,320.0,323.0,320.0,321.0,0.31,29469.00,9459521.00
1135,2018-12-26,325.0,331.0,320.0,328.0,2.18,70717.00,23180198.00
1134,2018-12-27,334.0,336.0,324.0,324.0,-1.22,162813.00,53643500.00
1133,2018-12-30,280.0,289.0,279.0,281.0,0.61,45201.00,12700491.00
1132,2018-12-31,286.0,286.0,277.0,277.0,-1.42,22770.00,6392363.00
1131,2019-01-01,278.0,278.0,272.0,272.0,-1.81,6979.00,1906985.00
1130,2019-01-02,273.0,273.0,270.0,270.0,-0.74,14853.00,4025481.00
1129,2019-01-03,275.0,275.0,268.0,268.0,-0.74,7625.00,2062708.00
1128,2019-01-06,270.0,270.0,266.0,269.0,0.37,6574.00,1761650.00
1127,2019-01-07,269.0,270.0,268.0,269.0,0.0,3881.00,1043821.00
1126,2019-01-08,274.0,279.0,269.0,269.0,0.0,9291.00,2507848.00
1125,2019-01-09,269.0,271.0,269.0,269.0,0.0,9532.00,2569561.00
1124,2019-01-10,270.0,272.0,269.0,269.0,0.0,8535.00,2306485.00
1123,2019-01-13,270.0,273.0,268.0,270.0,0.37,8261.00,2229972.00
1122,2019-01-14,270.0,271.0,269.0,270.0,0.0,4417.00,1194013.00
1121,2019-01-15,270.0,272.0,269.0,269.0,-0.37,6634.00,1789646.00
1120,2019-01-16,270.0,270.0,264.0,267.0,-0.74,7759.00,2076518.00
1119,2019-01-17,267.0,269.0,266.0,268.0,0.37,4500.00,1203692.00
1118,2019-01-20,266.0,267.0,264.0,266.0,-0.75,1000.00,265692.00
1117,2019-01-21,265.0,267.0,259.0,261.0,-1.88,17771.00,4658721.00
1116,2019-01-22,259.0,266.0,259.0,263.0,0.77,6171.00,1630963.00
1115,2019-01-23,263.0,265.0,263.0,265.0,0.76,3202.00,846524.00
1114,2019-01-24,265.0,266.0,261.0,263.0,-0.75,13792.00,3616499.00
1113,2019-01-27,262.0,263.0,260.0,261.0,-0.76,15771.00,4116193.00
1112,2019-01-28,260.0,264.0,260.0,262.0,0.38,8553.00,2245118.00
1111,2019-01-29,261.0,263.0,260.0,262.0,0.0,8936.00,2333300.00
1110,2019-01-30,260.0,268.0,260.0,268.0,2.29,13549.00,3599847.00
1109,2019-01-31,273.0,274.0,268.0,270.0,0.75,14459.00,3889351.00
1108,2019-02-03,266.0,278.0,265.0,265.0,-1.85,21859.00,5841856.00
1107,2019-02-04,268.0,268.0,263.0,264.0,-0.38,6545.00,1729182.00
1106,2019-02-05,264.0,270.0,262.0,266.0,0.76,9849.00,2634542.00
1105,2019-02-06,263.0,266.0,263.0,265.0,-0.38,9548.00,2516567.00
1104,2019-02-07,268.0,270.0,262.0,264.0,-0.38,4405.00,1163432.00
1103,2019-02-10,268.0,268.0,261.0,262.0,-0.76,10520.00,2756751.00
1102,2019-02-11,260.0,265.0,260.0,261.0,-0.38,5589.00,1460639.00
1101,2019-02-12,265.0,265.0,261.0,263.0,0.77,5061.00,1323499.00
1100,2019-02-13,266.0,266.0,260.0,262.0,-0.38,4404.00,1151313.00
1099,2019-02-14,265.0,265.0,258.0,259.0,-1.15,8517.00,2209505.00
1098,2019-02-17,260.0,261.0,259.0,261.0,0.77,2409.00,627265.00
1097,2019-02-18,259.0,260.0,256.0,260.0,-0.38,6817.00,1754045.00
1096,2019-02-19,258.0,262.0,257.0,262.0,0.77,7100.00,1839441.00
1095,2019-02-20,260.0,264.0,259.0,259.0,-1.15,6661.00,1734790.00
1094,2019-02-21,262.0,262.0,256.0,260.0,0.39,3452.00,892571.00
1093,2019-02-24,265.0,265.0,257.0,257.0,-1.15,7532.00,1947652.00
1092,2019-02-25,257.0,260.0,255.0,260.0,1.17,6543.00,1680408.00
1091,2019-02-26,263.0,263.0,257.0,257.0,-1.15,5250.00,1359846.00
1090,2019-02-27,257.0,261.0,257.0,260.0,1.17,9381.00,2427181.00
1089,2019-03-03,262.0,262.0,257.0,258.0,-0.77,9983.00,2584115.00
1088,2019-03-05,256.0,261.0,256.0,260.0,0.78,8168.00,2117621.00
1087,2019-03-06,259.0,261.0,259.0,261.0,0.38,7998.00,2077653.00
1086,2019-03-07,261.0,265.0,260.0,264.0,1.15,6764.00,1773084.00
1085,2019-03-10,264.0,264.0,261.0,263.0,-0.38,2553.00,671203.00
1084,2019-03-11,264.0,265.0,260.0,265.0,0.76,8348.00,2202298.00
1083,2019-03-12,267.0,271.0,264.0,270.0,1.89,40085.00,10689048.00
1082,2019-03-13,274.0,274.0,267.0,267.0,-1.11,31583.00,8518048.00
1081,2019-03-14,266.0,270.0,266.0,267.0,0.0,6169.00,1652417.00
1080,2019-03-17,270.0,270.0,267.0,270.0,1.12,9719.00,2608550.00
1079,2019-03-18,270.0,270.0,267.0,268.0,-0.74,6596.00,1773622.00
1078,2019-03-19,266.0,266.0,263.0,264.0,-1.49,4975.00,1316892.00
1077,2019-03-21,262.0,263.0,260.0,262.0,-0.76,6910.00,1808712.00
1076,2019-03-24,263.0,263.0,259.0,260.0,-0.76,22338.00,5798632.00
