S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
324,2023-09-25,310.1,315.0,308.5,309.0,-0.83,3192.00,993607.30
323,2023-09-26,311.0,320.0,311.0,315.0,1.94,9923.00,3125373.90
322,2023-09-27,311.5,314.0,311.0,313.0,-0.63,7929.00,2472765.10
321,2023-10-01,310.0,314.8,303.0,306.6,-2.04,4377.00,1345697.00
320,2023-10-02,310.5,310.5,304.5,304.5,-0.68,14834.00,4537082.50
319,2023-10-03,304.0,307.0,301.6,303.0,-0.49,8293.00,2522483.40
318,2023-10-04,300.0,309.0,300.0,306.5,1.16,6947.00,2113673.00
317,2023-10-05,307.0,307.9,301.8,304.0,-0.82,10716.00,3244848.70
316,2023-10-08,304.1,306.0,299.1,301.0,-0.99,12638.00,3807537.90
315,2023-10-09,298.3,304.0,298.3,299.5,-0.5,6281.00,1884515.40
314,2023-10-10,296.5,300.0,293.0,296.0,-1.17,17866.00,5275798.40
313,2023-10-11,296.0,300.0,294.3,298.0,0.68,5951.00,1761796.20
312,2023-10-12,298.0,300.0,295.2,297.0,-0.34,5455.00,1615027.10
311,2023-10-16,293.0,298.0,293.0,294.5,-0.84,6250.00,1842948.00
310,2023-10-17,294.4,301.9,294.4,296.3,0.61,3066.00,913987.70
309,2023-10-18,297.3,305.0,297.3,300.5,1.42,4598.00,1387522.10
308,2023-10-19,306.0,306.0,300.0,300.7,0.07,4105.00,1238677.10
307,2023-10-29,295.0,300.0,295.0,299.9,-0.27,4956.00,1474734.50
306,2023-10-30,294.1,299.9,294.1,299.9,0.0,4394.00,1309900.80
305,2023-10-31,298.0,300.0,297.0,297.6,-0.77,2710.00,808512.10
304,2023-11-01,301.9,301.9,296.3,296.9,-0.24,3489.00,1036321.70
303,2023-11-02,295.0,299.5,294.9,297.0,0.03,3945.00,1170328.20
302,2023-11-05,297.0,299.8,294.1,294.1,-0.98,4875.00,1439926.00
301,2023-11-06,295.0,299.9,294.4,296.0,0.65,7854.00,2324653.60
300,2023-11-07,296.2,300.8,296.0,297.7,0.57,2628.00,785639.70
299,2023-11-08,295.2,301.0,295.2,298.0,0.1,1892.00,562518.30
298,2023-11-09,298.0,299.9,295.0,297.1,-0.3,2774.00,825426.10
297,2023-11-20,302.9,303.0,295.3,295.3,-0.61,2632.00,784170.20
296,2023-11-21,295.0,298.0,292.1,294.0,-0.44,3333.00,981330.80
295,2023-11-22,295.0,299.5,295.0,296.1,0.71,3372.00,998562.70
294,2023-11-23,296.1,300.0,296.1,299.0,0.98,3710.00,1110352.70
293,2023-11-26,295.2,305.5,295.1,305.5,2.17,7208.00,2179943.70
292,2023-11-27,299.5,307.9,299.5,302.0,-1.15,7517.00,2284856.60
291,2023-11-28,302.1,306.0,299.0,303.0,0.33,4720.00,1422447.40
290,2023-11-29,302.0,304.0,301.0,301.0,-0.66,2599.00,785891.30
289,2023-11-30,306.0,306.0,297.3,298.9,-0.7,3712.00,1110997.60
288,2023-12-03,304.8,304.8,295.0,297.1,-0.6,4537.00,1352031.30
287,2023-12-04,297.0,300.0,295.2,295.2,-0.64,6141.00,1823794.90
286,2023-12-05,295.3,298.9,295.3,297.3,0.71,2690.00,796422.40
285,2023-12-06,295.2,298.7,295.2,296.5,-0.27,1832.00,542370.50
284,2023-12-07,295.0,301.0,295.0,297.2,0.24,4685.00,1401873.30
283,2023-12-10,303.1,315.0,303.1,315.0,5.99,550.00,170034.00
282,2023-12-11,321.3,321.3,306.0,311.0,-1.27,18151.00,5673064.90
281,2023-12-12,311.0,317.1,310.5,315.1,1.32,20387.00,6423683.80
280,2023-12-13,320.0,320.0,312.0,313.2,-0.6,19623.00,6189998.00
279,2023-12-14,307.5,317.0,307.5,315.0,0.57,7633.00,2396179.90
278,2023-12-17,308.7,311.0,294.0,309.9,-1.62,61389.00,18850632.00
277,2023-12-18,310.0,316.1,305.0,311.0,0.35,42471.00,13269356.20
276,2023-12-19,315.0,320.0,309.6,316.5,1.77,27025.00,8470364.70
275,2023-12-20,316.0,319.0,313.0,316.0,-0.16,32067.00,10124664.90
274,2023-12-21,318.0,318.0,310.0,311.0,-1.58,25808.00,8059774.40
273,2023-12-24,308.5,313.5,308.0,308.8,-0.71,23388.00,7256396.80
272,2023-12-27,310.1,310.1,305.5,306.2,-0.84,12222.00,3759345.70
271,2023-12-28,304.1,310.5,300.1,305.0,-0.39,33759.00,10244023.90
270,2024-01-01,309.5,309.5,299.0,301.9,-1.02,29509.00,8934002.70
269,2024-01-02,302.0,302.0,295.3,296.1,-1.92,16413.00,4888582.70
268,2024-01-03,300.0,306.0,299.0,302.0,1.99,20194.00,6086954.20
267,2024-01-04,306.0,310.0,299.1,299.5,-0.83,11138.00,3363391.40
266,2024-01-07,303.0,307.9,299.0,299.5,0.0,20427.00,6156623.10
265,2024-01-08,301.0,305.0,299.6,303.0,1.17,29570.00,8922804.70
264,2024-01-09,309.0,314.0,302.5,303.0,0.0,24707.00,7521449.60
263,2024-01-10,307.0,307.0,300.0,303.0,0.0,14776.00,4494161.00
262,2024-01-11,300.0,305.0,300.0,303.1,0.03,16310.00,4934562.20
261,2024-01-14,309.1,312.0,300.1,310.0,2.28,30735.00,9463651.90
260,2024-01-16,316.0,341.0,316.0,341.0,10.0,88532.00,28857310.40
259,2024-01-17,347.8,360.0,323.4,330.0,-3.23,120690.00,41871441.10
