Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
4/18/2022,756.00,756.00,745.00,747.50,-0.47,32922.00,24680590.60,41.24,18.13
4/17/2022,772.10,772.10,746.00,751.00,-0.79,38725.00,29155508.40,41.24,18.21
4/13/2022,748.00,760.00,745.00,757.00,0.66,51266.00,38575069.90,41.43,18.27
4/12/2022,775.00,775.00,745.00,752.00,-1.44,44168.00,33165629.30,41.43,18.15
4/11/2022,765.00,774.00,740.00,763.00,-0.26,91552.00,68688419.00,41.43,18.42
4/7/2022,750.00,765.00,746.00,765.00,3.11,51777.00,38907678.00,41.43,18.46
4/6/2022,750.00,750.00,739.00,741.90,-1.24,52534.00,38947897.10,41.43,17.91
4/5/2022,777.20,777.20,748.00,751.20,-1.42,69542.00,52271776.40,41.43,18.13
4/4/2022,777.10,777.10,757.00,762.00,0.01,19152.00,14559554.30,41.43,18.39
4/3/2022,770.00,778.00,756.20,761.90,-0.27,18189.00,13822827.50,41.43,18.39
3/31/2022,772.00,772.00,755.00,764.00,-0.39,39695.00,30287300.60,41.43,18.44
3/30/2022,758.00,770.00,757.00,767.00,1.32,29760.00,22669073.00,41.43,18.51
3/29/2022,756.00,765.00,754.00,757.00,-0.38,40516.00,30680927.40,41.43,18.27
3/28/2022,761.00,765.00,755.00,759.90,-0.80,37146.00,28229612.70,41.43,18.34
3/27/2022,780.00,790.00,766.00,766.00,-1.79,67429.00,52056815.80,41.43,18.49
3/24/2022,780.00,790.00,769.30,780.00,-0.64,67523.00,52208122.20,41.43,18.83
3/23/2022,780.00,785.00,773.00,785.00,0.65,108697.00,84194639.20,41.43,18.95
3/22/2022,770.00,785.00,770.00,779.90,0.89,41446.00,32251559.70,41.43,18.82
3/21/2022,775.00,780.00,762.00,773.00,0.39,47286.00,36280037.90,41.43,18.66
3/20/2022,776.00,776.00,764.00,770.00,0.26,42001.00,32221338.60,41.43,18.59
3/16/2022,772.00,778.00,765.00,768.00,-0.52,46676.00,35928971.20,41.43,18.54
