S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
418,2023-05-07,460.1,466.0,460.0,464.0,-1.07,7879.00,3633610.50
417,2023-05-08,465.0,466.6,459.0,461.0,-0.65,5671.00,2608530.30
416,2023-05-09,468.9,468.9,457.0,464.0,0.65,14581.00,6720768.60
415,2023-05-10,464.0,470.0,460.0,470.0,1.29,10300.00,4781527.70
414,2023-05-11,466.0,472.0,465.0,472.0,0.43,8714.00,4075929.10
413,2023-05-14,477.5,477.5,463.0,464.0,-1.69,8708.00,4039164.10
412,2023-05-15,463.0,463.1,459.0,462.5,-0.32,10737.00,4943791.20
411,2023-05-16,461.0,463.0,454.6,460.0,-0.54,13540.00,6184970.80
410,2023-05-17,459.0,463.9,458.0,460.9,0.2,9956.00,4582880.60
409,2023-05-18,470.1,470.1,462.0,468.9,1.74,13329.00,6235219.90
408,2023-05-21,473.0,473.0,463.0,466.0,-0.62,22216.00,10390592.80
407,2023-05-22,462.0,476.0,462.0,472.0,1.29,19491.00,9169472.30
406,2023-05-23,472.0,481.0,470.0,480.0,1.69,24681.00,11786416.70
405,2023-05-24,480.0,485.0,471.7,475.5,-0.94,32625.00,15555889.80
404,2023-05-28,482.0,510.0,482.0,504.0,5.99,167293.00,83829561.70
403,2023-05-30,507.0,512.0,494.0,511.0,1.39,139919.00,70453816.30
402,2023-05-31,509.0,510.0,494.9,497.6,-2.62,73864.00,37119454.40
401,2023-06-01,500.0,505.8,493.9,505.0,1.49,62693.00,31389971.10
400,2023-06-04,507.0,536.3,507.0,536.0,6.14,124750.00,65499913.20
399,2023-06-05,536.0,552.0,527.7,549.0,2.43,169377.00,91942111.90
398,2023-06-06,555.0,558.0,540.0,556.0,1.28,109236.00,60182183.80
397,2023-06-07,560.0,562.0,547.2,548.1,-1.42,95799.00,52931390.50
396,2023-06-08,548.1,552.0,540.0,540.0,-1.48,71555.00,38997234.90
395,2023-06-11,545.0,554.0,542.0,550.6,1.96,64056.00,35160617.10
394,2023-06-12,555.0,560.0,546.0,547.0,-0.65,87676.00,48302499.00
393,2023-06-13,550.0,569.0,543.2,565.0,3.29,110911.00,61911611.90
392,2023-06-14,567.0,584.9,560.0,572.0,1.24,133016.00,76737107.60
391,2023-06-15,562.1,573.0,560.0,563.1,-1.56,92537.00,52287724.40
